formula, size, congruence-pq, total, solver, subsumption
P0.5N2L10.form455, 19, 3, 0, 3
P0.5N2L10.form456, 13, 0, 0, 0
P0.5N2L10.form457, 16, 9, 1, 7
P0.5N2L10.form458, 16, 11, 1, 7
P0.5N2L10.form459, 10, 0, 0, 0
P0.5N2L10.form460, 10, 4, 0, 3
P0.5N2L10.form461, 13, 4, 0, 2
P0.5N2L10.form462, 13, 1, 0, 1
P0.5N2L10.form463, 13, 5, 2, 3
P0.5N2L10.form464, 10, 1, 0, 1
P0.5N2L10.form465, 13, 1, 0, 1
P0.5N2L10.form466, 16, 7, 0, 7
P0.5N2L10.form467, 13, 3, 0, 3
P0.5N2L10.form468, 13, 0, 0, 0
P0.5N2L10.form469, 16, 6, 1, 3
P0.5N2L10.form470, 13, 0, 0, 0
P0.5N2L10.form471, 13, 2, 0, 2
P0.5N2L10.form472, 13, 0, 0, 0
P0.5N2L10.form473, 16, 7, 0, 7
P0.5N2L10.form474, 13, 3, 0, 3
P0.5N2L10.form475, 13, 1, 1, 0
P0.5N2L10.form476, 10, 0, 0, 0
P0.5N2L10.form477, 10, 0, 0, 0
P0.5N2L10.form478, 13, 0, 0, 0
P0.5N2L10.form479, 13, 0, 0, 0
P0.5N2L10.form480, 13, 8, 0, 6
P0.5N2L10.form481, 10, 2, 0, 2
P0.5N2L10.form482, 13, 2, 0, 2
P0.5N2L10.form483, 10, 1, 0, 1
P0.5N2L10.form484, 10, 1, 0, 0
P0.5N2L10.form485, 16, 2, 0, 1
P0.5N2L10.form486, 13, 9, 0, 7
P0.5N2L10.form487, 16, 7, 0, 5
P0.5N2L10.form488, 10, 2, 0, 0
P0.5N2L10.form489, 13, 0, 0, 0
P0.5N2L10.form490, 10, 0, 0, 0
P0.5N2L10.form491, 13, 2, 0, 2
P0.5N2L10.form492, 13, 1, 0, 1
P0.5N2L10.form493, 13, 1, 0, 1
P0.5N2L10.form494, 13, 6, 1, 5
P0.5N2L10.form495, 19, 4, 0, 3
P0.5N2L10.form496, 13, 2, 0, 1
P0.5N2L10.form497, 13, 1, 0, 1
P0.5N2L10.form498, 10, 0, 0, 0
P0.5N2L10.form499, 13, 2, 0, 2
P0.5N2L100.form, 136, 1835, 1, 1695
P0.5N2L100.form1, 127, 45, 2, 39
P0.5N2L100.form2, 130, 0, 0, 0
P0.5N2L100.form3, 142, 1, 0, 1
P0.5N2L100.form4, 133, 23, 0, 19
P0.5N2L100.form5, 157, 18, 0, 2
P0.5N2L100.form6, 139, 131, 1, 83
P0.5N2L100.form7, 127, 0, 0, 0
P0.5N2L100.form8, 142, 17, 0, 10
P0.5N2L100.form9, 130, 17, 1, 10
P0.5N2L100.form10, 130, 0, 0, 0
P0.5N2L100.form11, 130, 0, 0, 0
P0.5N2L100.form12, 136, 137, 1, 20
P0.5N2L100.form13, 130, 1, 0, 1
P0.5N2L100.form14, 139, 0, 0, 0
P0.5N2L100.form15, 136, 6, 1, 4
P0.5N2L100.form16, 130, 9, 0, 8
P0.5N2L100.form17, 148, 480, 3, 269
P0.5N2L100.form18, 136, 21, 0, 19
P0.5N2L100.form19, 130, 0, 0, 0
P0.5N2L100.form20, 133, 0, 0, 0
P0.5N2L100.form21, 136, 0, 0, 0
P0.5N2L100.form22, 145, 1, 0, 1
P0.5N2L100.form23, 142, 331, 2, 230
P0.5N2L100.form24, 145, 541, 2, 315
P0.5N2L100.form25, 151, 0, 0, 0
P0.5N2L100.form26, 151, 260, 2, 204
P0.5N2L100.form27, 139, 3141, 7, 2318
P0.5N2L100.form28, 145, 1712, 6, 825
P0.5N2L100.form29, 130, 330, 1, 181
P0.5N2L100.form30, 121, 637, 3, 568
P0.5N2L100.form31, 124, 4, 1, 3
P0.5N2L100.form32, 142, 2, 0, 1
P0.5N2L100.form33, 139, 1940, 2, 1407
