formula, size, total, solver, subsumption, reverse
P0.5N2L10.form214, 13, 1, 0, 1, 
P0.5N2L10.form215, 13, 0, 0, 0, 
P0.5N2L10.form216, 10, 0, 0, 0, 
P0.5N2L10.form217, 10, 0, 0, 0, 
P0.5N2L10.form218, 16, 1, 0, 1, 
P0.5N2L10.form219, 16, 0, 0, 0, 
P0.5N2L10.form220, 16, 1, 0, 0, 
P0.5N2L10.form221, 13, 1, 1, 0, 
P0.5N2L10.form222, 13, 0, 0, 0, 
P0.5N2L10.form223, 13, 0, 0, 0, 
P0.5N2L10.form224, 13, 0, 0, 0, 
P0.5N2L10.form225, 10, 0, 0, 0, 
P0.5N2L10.form226, 13, 0, 0, 0, 
P0.5N2L10.form227, 13, 0, 0, 0, 
P0.5N2L10.form228, 16, 0, 0, 0, 
P0.5N2L10.form229, 13, 0, 0, 0, 
P0.5N2L10.form230, 13, 1, 1, 0, 
P0.5N2L10.form231, 10, 0, 0, 0, 
P0.5N2L10.form232, 16, 1, 0, 0, 
P0.5N2L10.form233, 13, 0, 0, 0, 
P0.5N2L10.form234, 13, 0, 0, 0, 
P0.5N2L10.form235, 13, 0, 0, 0, 
P0.5N2L10.form236, 16, 0, 0, 0, 
P0.5N2L10.form237, 10, 0, 0, 0, 
P0.5N2L10.form238, 13, 0, 0, 0, 
P0.5N2L10.form239, 13, 0, 0, 0, 
P0.5N2L10.form240, 16, 0, 0, 0, 
P0.5N2L10.form241, 10, 0, 0, 0, 
P0.5N2L10.form242, 16, 0, 0, 0, 
P0.5N2L10.form243, 16, 1, 1, 0, 
P0.5N2L10.form244, 13, 0, 0, 0, 
P0.5N2L10.form245, 10, 1, 1, 0, 
P0.5N2L10.form246, 10, 0, 0, 0, 
P0.5N2L10.form247, 10, 0, 0, 0, 
P0.5N2L10.form248, 10, 0, 0, 0, 
P0.5N2L10.form249, 13, 1, 0, 0, 
P0.5N2L10.form250, 16, 0, 0, 0, 
P0.5N2L10.form251, 13, 0, 0, 0, 
P0.5N2L10.form252, 16, 0, 0, 0, 
P0.5N2L10.form253, 10, 1, 1, 0, 
P0.5N2L10.form254, 13, 1, 1, 0, 
P0.5N2L10.form255, 13, 0, 0, 0, 
P0.5N2L10.form256, 13, 0, 0, 0, 
P0.5N2L10.form257, 13, 1, 1, 0, 
P0.5N2L10.form258, 13, 0, 0, 0, 
P0.5N2L10.form259, 10, 0, 0, 0, 
P0.5N2L10.form260, 16, 1, 1, 0, 
P0.5N2L10.form261, 10, 0, 0, 0, 
P0.5N2L10.form262, 10, 0, 0, 0, 
P0.5N2L10.form263, 13, 0, 0, 0, 
P0.5N2L10.form264, 10, 0, 0, 0, 
P0.5N2L10.form265, 10, 0, 0, 0, 
P0.5N2L10.form266, 10, 0, 0, 0, 
P0.5N2L10.form267, 16, 0, 0, 0, 
P0.5N2L10.form268, 10, 0, 0, 0, 
P0.5N2L10.form269, 10, 1, 1, 0, 
P0.5N2L10.form270, 16, 0, 0, 0, 
P0.5N2L10.form271, 19, 0, 0, 0, 
P0.5N2L10.form272, 13, 0, 0, 0, 
P0.5N2L10.form273, 10, 0, 0, 0, 
P0.5N2L10.form274, 10, 0, 0, 0, 
P0.5N2L10.form275, 10, 0, 0, 0, 
P0.5N2L10.form276, 13, 0, 0, 0, 
P0.5N2L10.form277, 13, 0, 0, 0, 
P0.5N2L10.form278, 13, 1, 1, 0, 
P0.5N2L10.form279, 13, 0, 0, 0, 
P0.5N2L10.form280, 13, 0, 0, 0, 
P0.5N2L10.form281, 10, 0, 0, 0, 
P0.5N2L10.form282, 13, 0, 0, 0, 
P0.5N2L10.form283, 16, 18, 15, 1, 
P0.5N2L10.form284, 13, 0, 0, 0, 
P0.5N2L10.form285, 13, 0, 0, 0, 
P0.5N2L10.form286, 10, 0, 0, 0, 
P0.5N2L10.form287, 13, 1, 1, 0, 
P0.5N2L10.form288, 16, 0, 0, 0, 
P0.5N2L10.form289, 16, 0, 0, 0, 
P0.5N2L10.form290, 13, 0, 0, 0, 
P0.5N2L10.form291, 13, 0, 0, 0, 
P0.5N2L10.form292, 10, 1, 1, 0, 
P0.5N2L10.form293, 16, 0, 0, 0, 
P0.5N2L10.form294, 16, 1, 1, 0, 
P0.5N2L10.form295, 13, 1, 1, 0, 
P0.5N2L10.form296, 13, 0, 0, 0, 
P0.5N2L10.form297, 10, 0, 0, 0, 
P0.5N2L10.form298, 16, 0, 0, 0, 
P0.5N2L10.form299, 13, 1, 0, 1, 
P0.5N2L10.form300, 13, 0, 0, 0, 
P0.5N2L10.form301, 13, 0, 0, 0, 
P0.5N2L10.form302, 16, 1, 0, 1, 
P0.5N2L10.form303, 13, 0, 0, 0, 
P0.5N2L10.form304, 19, 0, 0, 0, 
P0.5N2L10.form305, 10, 0, 0, 0, 
P0.5N2L10.form306, 16, 1, 0, 1, 
P0.5N2L10.form307, 16, 1, 0, 0, 
P0.5N2L10.form308, 16, 0, 0, 0, 
P0.5N2L10.form309, 13, 0, 0, 0, 
P0.5N2L10.form310, 13, 0, 0, 0, 
P0.5N2L10.form311, 10, 0, 0, 0, 
P0.5N2L10.form312, 13, 0, 0, 0, 
P0.5N2L10.form313, 13, 0, 0, 0, 
P0.5N2L10.form314, 16, 0, 0, 0, 
P0.5N2L10.form315, 13, 0, 0, 0, 
P0.5N2L10.form316, 16, 0, 0, 0, 
P0.5N2L10.form317, 16, 1, 1, 0, 
P0.5N2L10.form318, 13, 1, 1, 0, 
P0.5N2L10.form319, 13, 0, 0, 0, 
P0.5N2L10.form320, 19, 0, 0, 0, 
P0.5N2L10.form321, 19, 1, 0, 0, 
P0.5N2L10.form322, 19, 1, 1, 0, 
P0.5N2L10.form323, 16, 0, 0, 0, 
P0.5N2L10.form324, 13, 0, 0, 0, 
P0.5N2L10.form325, 19, 0, 0, 0, 
P0.5N2L10.form326, 10, 0, 0, 0, 
P0.5N2L10.form327, 10, 0, 0, 0, 
P0.5N2L10.form328, 10, 1, 1, 0, 
P0.5N2L10.form329, 13, 0, 0, 0, 
P0.5N2L10.form330, 10, 1, 1, 0, 
P0.5N2L10.form331, 13, 0, 0, 0, 
P0.5N2L10.form332, 10, 0, 0, 0, 
P0.5N2L10.form333, 16, 0, 0, 0, 
P0.5N2L10.form334, 13, 0, 0, 0, 
P0.5N2L10.form335, 16, 1, 0, 1, 
P0.5N2L10.form336, 13, 0, 0, 0, 
P0.5N2L10.form337, 10, 1, 0, 0, 
P0.5N2L10.form338, 19, 0, 0, 0, 
P0.5N2L10.form339, 13, 0, 0, 0, 
P0.5N2L10.form340, 16, 0, 0, 0, 
P0.5N2L10.form341, 10, 0, 0, 0, 
P0.5N2L10.form342, 13, 0, 0, 0, 
P0.5N2L10.form343, 10, 0, 0, 0, 
P0.5N2L10.form344, 10, 0, 0, 0, 
P0.5N2L10.form345, 10, 1, 0, 1, 
P0.5N2L10.form346, 16, 1, 1, 0, 
P0.5N2L10.form347, 10, 0, 0, 0, 
P0.5N2L10.form348, 10, 0, 0, 0, 
P0.5N2L10.form349, 16, 1, 0, 0, 
P0.5N2L10.form350, 10, 0, 0, 0, 
P0.5N2L10.form351, 13, 0, 0, 0, 
P0.5N2L10.form352, 13, 0, 0, 0, 
P0.5N2L10.form353, 10, 0, 0, 0, 
P0.5N2L10.form354, 13, 0, 0, 0, 
P0.5N2L10.form355, 10, 0, 0, 0, 
P0.5N2L10.form356, 13, 0, 0, 0, 
P0.5N2L10.form357, 16, 0, 0, 0, 
P0.5N2L10.form358, 10, 0, 0, 0, 
